version,cohort,model,threshold,n_images,n_failures,prevalence,auroc,ci_low,ci_high
16,random,rtdetr-l-coco-torch,0.25,1000,91,0.091,0.5671006661105671,0.508808091617372,0.6277060483781237
16,random,rtdetr-v2-l-coco-torch,0.25,1000,70,0.07,0.6173195084485407,0.555328826900474,0.6843073658648008
16,random,rtdetr-v2-m-coco-torch,0.25,1000,54,0.054,0.5739566204682484,0.5015627613082629,0.6506529089919423
16,random,rtdetr-v2-s-coco-torch,0.25,1000,68,0.068,0.5768587477909619,0.5149754419011258,0.6469264410046037
16,random,rtdetr-x-coco-torch,0.25,1000,87,0.087,0.5706399264770682,0.512992808977725,0.6269786218399789
16,random,yolo11l-coco-torch,0.25,1000,63,0.063,0.5921634395487116,0.5254326044898632,0.660480289090032
16,random,yolo11m-coco-torch,0.25,1000,67,0.067,0.5850970229239654,0.5240970597390144,0.6530428471122708
16,random,yolo11n-coco-torch,0.25,1000,165,0.165,0.6240609689711486,0.5836853307526387,0.66352379117192
16,random,yolo11s-coco-torch,0.25,1000,97,0.097,0.6323423639415008,0.5837304090833534,0.6860695236311237
16,random,yolo11x-coco-torch,0.25,1000,50,0.05,0.6354421052631579,0.5584766669755096,0.7112400742681527
16,random,yolov10l-coco-torch,0.25,1000,66,0.066,0.6364853027058595,0.5753051672394942,0.6969063157894737
16,random,yolov10m-coco-torch,0.25,1000,76,0.076,0.6073920596946912,0.5497992281504009,0.6656845426616975
16,random,yolov10n-coco-torch,0.25,1000,209,0.209,0.6221305476079579,0.5846353301631712,0.6586695955340187
16,random,yolov10s-coco-torch,0.25,1000,96,0.096,0.6444909199852508,0.5920811606400812,0.6970559868107814
16,random,yolov10x-coco-torch,0.25,1000,55,0.055,0.6212602212602213,0.5571811300600347,0.6898917950178476
16,random,yolov5l-coco-torch,0.25,1000,68,0.068,0.5994382731633426,0.5373323324286796,0.6596910753265653
16,random,yolov5m-coco-torch,0.25,1000,86,0.086,0.5960638135463844,0.5395434405080065,0.6521806929655671
16,random,yolov5n-coco-torch,0.25,1000,225,0.225,0.5906150537634408,0.5528467529148037,0.6277850087540836
16,random,yolov5s-coco-torch,0.25,1000,97,0.097,0.5975956433880193,0.5446872542920512,0.6505966869008329
16,random,yolov5x-coco-torch,0.25,1000,58,0.058,0.5473771872025771,0.4799131137169784,0.6220946260614758
16,random,yolov8l-coco-torch,0.25,1000,50,0.05,0.567021052631579,0.4885506327484383,0.6439371100931517
16,random,yolov8m-coco-torch,0.25,1000,69,0.069,0.5860225096903751,0.5238861781951043,0.649713177783682
16,random,yolov8n-coco-torch,0.25,1000,188,0.188,0.603084713342417,0.5624147910991449,0.6415083678570872
16,random,yolov8s-coco-torch,0.25,1000,95,0.095,0.596324512939808,0.5471196790601947,0.6478154603422887
16,random,yolov8x-coco-torch,0.25,1000,52,0.052,0.6135386238234339,0.5443234499696469,0.6837700451343218
16,random,yolov9c-coco-torch,0.25,1000,61,0.061,0.5981511548735139,0.5278687765684791,0.6702366534848314
