version,model,level,prediction,baseline,n_train,metric,prompt_strategy
17,rfdetr-nano-coco-torch,1,0.8195130711256309,0.5776083855206445,29,detection_quality,zeroshot
17,rfdetr-nano-coco-torch,2,0.7028035795145655,0.5776083855206445,297,detection_quality,zeroshot
17,rfdetr-nano-coco-torch,3,0.5347053787748427,0.5776083855206445,593,detection_quality,zeroshot
17,rfdetr-nano-coco-torch,4,0.34604387319375957,0.5776083855206445,81,detection_quality,zeroshot
17,rfdetr-nano-coco-torch,5,0.34604387319375957,0.5776083855206445,0,detection_quality,zeroshot
17,rfdetr-small-coco-torch,1,0.8157326063436408,0.6189969669318153,29,detection_quality,zeroshot
17,rfdetr-small-coco-torch,2,0.7350388226102677,0.6189969669318153,297,detection_quality,zeroshot
17,rfdetr-small-coco-torch,3,0.5805956255460166,0.6189969669318153,593,detection_quality,zeroshot
17,rfdetr-small-coco-torch,4,0.4042096923927607,0.6189969669318153,81,detection_quality,zeroshot
17,rfdetr-small-coco-torch,5,0.4042096923927607,0.6189969669318153,0,detection_quality,zeroshot
17,rtdetr-l-coco-torch,1,0.7621855160287802,0.5610279720078203,29,detection_quality,zeroshot
17,rtdetr-l-coco-torch,2,0.6525597811456201,0.5610279720078203,297,detection_quality,zeroshot
17,rtdetr-l-coco-torch,3,0.5236219689283828,0.5610279720078203,593,detection_quality,zeroshot
17,rtdetr-l-coco-torch,4,0.42724085763216907,0.5610279720078203,81,detection_quality,zeroshot
17,rtdetr-l-coco-torch,5,0.42724085763216907,0.5610279720078203,0,detection_quality,zeroshot
17,rtdetr-v2-l-coco-torch,1,0.7665555534434034,0.6551630257957263,29,detection_quality,zeroshot
17,rtdetr-v2-l-coco-torch,2,0.7546637643230623,0.6551630257957263,297,detection_quality,zeroshot
17,rtdetr-v2-l-coco-torch,3,0.6267764550366132,0.6551630257957263,593,detection_quality,zeroshot
17,rtdetr-v2-l-coco-torch,4,0.45826344327415597,0.6551630257957263,81,detection_quality,zeroshot
17,rtdetr-v2-l-coco-torch,5,0.45826344327415597,0.6551630257957263,0,detection_quality,zeroshot
17,rtdetr-v2-m-coco-torch,1,0.8224020631681649,0.6579062083636237,29,detection_quality,zeroshot
17,rtdetr-v2-m-coco-torch,2,0.7494436705282028,0.6579062083636237,297,detection_quality,zeroshot
17,rtdetr-v2-m-coco-torch,3,0.6285675659546041,0.6579062083636237,593,detection_quality,zeroshot
17,rtdetr-v2-m-coco-torch,4,0.47816310831840114,0.6579062083636237,81,detection_quality,zeroshot
